585,588,8.0
584,593,8.0
580,591,8.0
579,592,8.0
571,592,8.0
569,591,8.0
568,588,8.0
566,574,8.0
564,592,8.0
562,591,8.0
560,565,8.0
556,573,8.0
554,561,8.0
553,575,8.0
552,586,8.0
551,590,8.0
549,589,8.0
547,593,8.0
546,555,8.0
545,592,8.0
544,591,8.0
543,593,8.0
539,541,8.0
538,541,8.0
537,573,8.0
536,588,8.0
534,555,8.0
532,550,8.0
531,574,8.0
530,576,8.0
529,592,8.0
526,593,8.0
525,548,8.0
524,561,8.0
523,581,8.0
522,590,8.0
521,591,8.0
517,594,8.0
516,588,8.0
514,540,8.0
513,586,8.0
512,586,8.0
510,573,8.0
509,590,8.0
508,588,8.0
507,555,8.0
506,565,8.0
505,591,8.0
503,581,8.0
502,533,8.0
501,563,8.0
499,575,8.0
498,520,8.0
497,592,8.0
496,576,8.0
495,559,8.0
494,500,8.0
490,587,8.0
489,588,8.0
488,573,8.0
487,575,8.0
486,565,8.0
485,491,8.0
484,493,8.0
482,561,8.0
481,559,8.0
480,581,8.0
479,548,8.0
478,520,8.0
477,592,8.0
476,528,8.0
475,588,8.0
474,491,8.0
472,592,8.0
471,561,8.0
470,491,8.0
468,493,8.0
466,588,8.0
464,570,8.0
463,581,8.0
462,491,8.0
461,511,8.0
460,542,8.0
459,469,8.0
457,500,8.0
455,555,8.0
454,550,8.0
451,491,8.0
450,592,8.0
449,581,8.0
447,520,8.0
446,592,8.0
445,550,8.0
444,469,8.0
443,570,8.0
441,550,8.0
440,588,8.0
439,563,8.0
437,548,8.0
436,467,8.0
435,465,8.0
434,469,8.0
433,581,8.0
432,593,8.0
431,592,8.0
430,456,8.0
429,493,8.0
428,491,8.0
427,561,8.0
426,555,8.0
425,592,8.0
424,520,8.0
423,592,8.0
422,588,8.0
421,581,8.0
420,592,8.0
419,559,8.0
418,548,8.0
417,563,8.0
416,456,8.0
415,591,8.0
414,563,8.0
413,559,8.0
412,590,8.0
411,591,8.0
410,591,8.0
408,588,8.0
407,573,8.0
406,588,8.0
404,573,8.0
403,561,8.0
402,541,8.0
401,590,8.0
400,540,8.0
399,591,8.0
398,576,8.0
397,555,8.0
396,588,8.0
395,561,8.0
394,565,8.0
393,528,8.0
392,583,8.0
391,588,8.0
390,511,8.0
389,588,8.0
388,588,8.0
387,581,8.0
386,540,8.0
385,592,8.0
384,573,8.0
382,588,8.0
381,555,8.0
380,591,8.0
379,540,8.0
378,540,8.0
377,555,8.0
374,383,8.0
373,533,8.0
372,533,8.0
371,573,8.0
370,540,8.0
369,588,8.0
368,520,8.0
367,540,8.0
366,541,8.0
365,590,8.0
364,383,8.0
363,588,8.0
362,591,8.0
361,491,8.0
360,493,8.0
359,581,8.0
358,588,8.0
357,587,8.0
356,591,8.0
355,592,8.0
354,593,8.0
353,592,8.0
352,581,8.0
351,592,8.0
350,535,8.0
349,593,8.0
348,541,8.0
347,561,8.0
346,541,8.0
345,453,8.0
344,458,8.0
343,535,8.0
342,561,8.0
340,383,8.0
339,535,8.0
338,573,8.0
337,581,8.0
335,593,8.0
334,575,8.0
333,573,8.0
332,500,8.0
331,469,8.0
330,469,8.0
329,518,8.0
328,438,8.0
327,438,8.0
326,541,8.0
324,559,8.0
323,594,8.0
322,581,8.0
321,574,8.0
320,565,8.0
318,465,8.0
317,593,8.0
316,588,8.0
315,520,8.0
314,500,8.0
312,458,8.0
311,575,8.0
310,515,8.0
309,533,8.0
308,540,8.0
307,573,8.0
305,561,8.0
303,590,8.0
302,586,8.0
301,483,8.0
299,588,8.0
298,561,8.0
297,341,8.0
296,438,8.0
295,541,8.0
294,473,8.0
292,452,8.0
291,515,8.0
290,438,8.0
289,583,8.0
288,540,8.0
287,438,8.0
285,590,8.0
284,483,8.0
283,565,8.0
282,341,8.0
281,555,8.0
280,591,8.0
279,588,8.0
278,561,8.0
277,511,8.0
276,588,8.0
275,559,8.0
274,540,8.0
273,574,8.0
272,473,8.0
271,555,8.0
270,527,8.0
268,573,8.0
267,588,8.0
266,591,8.0
265,286,8.0
264,535,8.0
263,565,8.0
262,591,8.0
260,574,8.0
259,555,8.0
258,591,8.0
257,593,8.0
256,565,8.0
255,286,8.0
254,383,8.0
253,561,8.0
252,541,8.0
251,541,8.0
250,592,8.0
249,575,8.0
248,555,8.0
247,574,8.0
246,325,8.0
245,541,8.0
244,577,8.0
243,578,8.0
242,261,8.0
241,438,8.0
240,583,8.0
239,573,8.0
238,576,8.0
237,453,8.0
236,573,8.0
235,578,8.0
234,541,8.0
233,589,8.0
232,541,8.0
231,453,8.0
230,575,8.0
229,588,8.0
228,572,8.0
227,575,8.0
226,573,8.0
225,458,8.0
224,559,8.0
223,592,8.0
222,304,8.0
221,573,8.0
219,588,8.0
218,438,8.0
217,581,8.0
216,448,8.0
215,565,8.0
214,269,8.0
213,520,8.0
212,473,8.0
211,570,8.0
210,591,8.0
209,575,8.0
208,527,8.0
207,467,8.0
206,557,8.0
205,561,8.0
204,592,8.0
203,591,8.0
202,520,8.0
201,500,8.0
200,575,8.0
198,592,8.0
197,453,8.0
196,561,8.0
195,575,8.0
194,500,8.0
193,452,8.0
192,592,8.0
191,591,8.0
190,559,8.0
189,453,8.0
188,520,8.0
