
 Number of clusters 13: 
 Points in cluster 1: 32970.000000 	31860.000000 	0.634359 	0.636108 	0.421008 	0.449941 	0.319427 	0.320985 	0.213351 	0.186167 	282.482482 	

33300.000000	31300.000000	0.676587	0.719611	0.423148	0.440069	0.359532	0.406710	0.253439	0.279542	286.141573	
30600.000000	31000.000000	0.560290	0.596696	0.372943	0.394143	0.246556	0.279638	0.187347	0.202552	277.028879	
31100.000000	31400.000000	0.580053	0.584234	0.456096	0.487154	0.264256	0.268079	0.123957	0.097080	286.000000	
33500.000000	31900.000000	0.553473	0.525656	0.404521	0.413170	0.240593	0.217016	0.148952	0.112486	277.045123	
33100.000000	31600.000000	0.565418	0.595209	0.404352	0.436060	0.251090	0.278246	0.161066	0.159149	278.016187	
32200.000000	31600.000000	0.727562	0.686316	0.482318	0.509299	0.415748	0.369946	0.245244	0.177017	289.027680	
33400.000000	33300.000000	0.613533	0.603109	0.363749	0.390396	0.295642	0.285681	0.249784	0.212713	287.141080	
33500.000000	31100.000000	0.723673	0.688964	0.439218	0.493112	0.411315	0.372806	0.284456	0.195852	272.148856	
35400.000000	32700.000000	0.699669	0.731178	0.424247	0.451127	0.384481	0.419890	0.275423	0.280051	284.212948	
33600.000000	32700.000000	0.643331	0.630110	0.439487	0.484884	0.325057	0.311834	0.203844	0.145226	288.062493	

Points in cluster 2: 60428.571429 	62142.857143 	0.648872 	0.651924 	0.406940 	0.422674 	0.333781 	0.336068 	0.241932 	0.229249 	274.698663 	

60600.000000	61500.000000	0.545112	0.568283	0.373845	0.398427	0.233379	0.253641	0.171267	0.169856	270.029628	
59100.000000	61700.000000	0.614394	0.639351	0.437858	0.451425	0.296472	0.321047	0.176536	0.187925	282.086866	
59600.000000	61100.000000	0.698965	0.729035	0.403201	0.410711	0.383708	0.417433	0.295764	0.318324	297.000000	
63100.000000	64000.000000	0.642637	0.620890	0.410293	0.420041	0.324356	0.302774	0.232344	0.200848	273.001831	
60500.000000	62600.000000	0.694075	0.669783	0.430837	0.465235	0.378358	0.352336	0.263238	0.204548	250.008000	
59900.000000	61400.000000	0.743743	0.719690	0.398727	0.414924	0.434446	0.406800	0.345016	0.304766	271.361383	
60200.000000	62700.000000	0.603177	0.616434	0.393819	0.397958	0.285746	0.298444	0.209359	0.218476	279.402935

Points in cluster 3: 43354.054054 	43440.540541 	0.644633 	0.651711 	0.414408 	0.431403 	0.329458 	0.336993 	0.230225 	0.220308 	274.266946 	

